iter	Passed	Remaining
0	2	216
1	4	216
2	6	203
3	7	178
4	8	169
5	10	162
6	11	158
7	13	158
8	15	156
9	17	154
10	18	152
11	20	149
12	21	146
13	23	144
14	25	143
15	26	140
16	28	139
17	30	137
18	31	135
19	33	133
20	34	130
21	36	128
22	37	126
23	39	124
24	41	123
25	42	121
26	44	119
27	45	117
28	47	116
29	49	114
30	50	112
31	52	110
32	53	108
33	55	108
34	58	107
35	59	106
36	61	104
37	62	102
38	64	100
39	65	98
40	67	96
41	67	93
42	69	91
43	70	90
44	72	88
45	73	86
46	75	84
47	76	83
48	78	81
49	79	79
50	80	77
51	82	76
52	84	74
53	86	73
54	87	71
55	89	70
56	91	69
57	94	68
58	96	67
59	98	65
60	99	63
61	101	62
62	103	60
63	104	59
64	106	57
65	107	55
66	109	53
67	110	52
68	112	50
69	113	48
70	115	47
71	116	45
72	118	43
73	119	42
74	121	40
75	122	38
76	124	37
77	126	35
78	128	34
79	129	32
80	131	30
81	133	29
82	135	27
83	137	26
84	139	24
85	141	23
86	143	21
87	146	19
88	148	18
89	151	16
90	153	15
91	155	13
92	157	11
93	159	10
94	160	8
95	162	6
96	163	5
97	165	3
98	166	1
99	168	0
